ノ	の
クンレン	訓練
タイム	タイム
セキ	隻
ハハオヤ	母親
テイギ	定義
ドウメイ	同盟
シヌ	死ぬ
シルス	記す
セイネンガッピ	生年月日
レンラク	連絡
カカル	かかる
ジツゲン	実現
イキ	域
キャスト	キャスト
ケモノ	獣
フクシ	福祉
カワサキ	川崎
オープニング	オープニング
キョウ	京
センシャ	戦車
イケダ	池田
ソレン	ソ連
ヨウチエン	幼稚園
スイシン	推進
マッチ	マッチ
タッセイ	達成
イワテ	岩手
シボツ	死没
ブチョウ	部長
ハイグウ	配偶
ダレ	誰
キョウシ	教師
スケ	介
セツビ	設備
ジタイ	自体
ワカイ	若い
オトズレル	訪れる
テル	てる
チョウカン	長官
ハンイ	範囲
ボール	ボール
キンヨウ	金曜
デントウ	伝統
リエキ	利益
カイドウ	街道
モウ	もう
ガス	ガス
トン	トン
シュウテン	終点
フユ	冬
トチギ	栃木
タイショウ	大賞
ヘイキ	兵器
ワルイ	悪い
アト	跡
ケン	券
トウキョウダイガク	東京大学
オランダ	オランダ
ノル	乗る
ソウ	層
ケイタイ	携帯
マイトシ	毎年
セイリョク	勢力
ジドウ	児童
タマ	玉
シカイ	司会
リスト	リスト
セン	選
ハツゲン	発言
ナカ	なか
シソウ	思想
トウホウ	東宝
ヘイワ	平和
セイブ	西部
イチジ	一時
キンシ	禁止
ナイブ	内部
ダンジョ	男女
チュウガク	中学
オワライ	お笑い
コウキ	後期
ヨウソ	要素
トナリ	隣
オク	おく
サンセン	参戦
ザイダン	財団
ジュツ	術
ショカイ	初回
ガツ	ヶ月
テンジ	展示
セイテイ	制定
トクガワ	徳川
トラック	トラック
カイテン	回転
タンドク	単独
ハタラク	働く
ハイキュウ	配給
イキル	生きる
デン	電
ツチ	土
ミエ	三重
ショウジル	生じる
シダン	師団
ホノオ	炎
ケイショウ	継承
ホゾン	保存
メイレイ	命令
トットリ	鳥取
コウリツ	公立
シン	信
シカク	資格
シュウイ	周囲
ホームページ	ホームページ
リョコウ	旅行
トドウフケン	都道府県
ギ	義
ワ	輪
ヤクワリ	役割
カンソク	観測
ハナ	華
コヨミ	暦
アンナイ	案内
テツガク	哲学
ケンコウ	健康
グランプリ	グランプリ
ゼンイン	全員
セイネン	青年
ケンポウ	憲法
マッタク	全く
イガク	医学
ジテン	辞典
ブルー	ブルー
コ	古
シテキ	指摘
カイイン	会員
キッカケ	きっかけ
トクイ	得意
ヨウ	陽
シ	詩
ヒミツ	秘密
フリガナ	ふりがな
ワカヤマ	和歌山
ブンカツ	分割
タカシ	隆
コウジョウ	向上
キシ	騎士
キケン	危険
マゴ	孫
センゲン	宣言
ハッシャ	発射
ヒ	比
シュウ	周
カイジョウ	会場
シンタイ	身体
ソナエル	備える
ゼンシン	前身
セイノウ	性能
ミドリ	緑
ミサイル	ミサイル
ドラフト	ドラフト
ムケル	向ける
カバー	カバー
ネットワーク	ネットワーク
チズ	地図
ホド	程
タイリク	大陸
キュウダン	球団
サイバンショ	裁判所
アツカイ	扱い
リャクレキ	略歴
ソレラ	それら
ショセキ	書籍
カク	核
ヤブル	破る
オンセイ	音声
タイセイ	体制
プログラム	プログラム
ユウジン	友人
ケイゾク	継続
ロクオン	録音
カイキュウ	階級
シュウ	週
チリョウ	治療
ザヒョウ	座標
シチョウソン	市町村
ケンゾウ	建造
ツキ	付き
カマクラ	鎌倉
ポーランド	ポーランド
キュウコウ	急行
ナゾ	謎
シッコウ	執行
シュビ	守備
セイ	成
ジョ	助
フゾク	附属
ショウカク	昇格
イジ	維持
シャタイ	車体
コガタ	小型
ハンシン	阪神
モンスター	モンスター
モシクハ	もしくは
シブヤ	渋谷
エイセイ	衛星
ショウメツ	消滅
ゲンエキ	現役
コウキョウ	公共
ウェブサイト	ウェブサイト
ジャパン	ジャパン
ジチ	自治
エイブン	英文
バンメ	番目
ボツネン	没年
イタ	板
ココロザシ	志
ニシニホン	西日本
イコウ	移行
ニチヨウ	日曜
イン	イン
タ	多
ジョウエイ	上映
ボウケン	冒険
リング	リング
	々
カドカワ	角川
ダンカイ	段階
マコト	誠
シチョウ	視聴
ハタ	旗
チイサナ	小さな
ハイケイ	背景
バイ	倍
シュウニュウ	収入
カニュウ	加入
ジコ	自己
ヒョウコウ	標高
ハカル	図る
コウケイ	後継
アネ	姉
ネコ	猫
シンコウ	進行
ゲンゴ	原語
プロレス	プロレス
ハンシュ	藩主
マイシュウ	毎週
サラニ	更に
レンタイ	連隊
バレーボール	バレーボール
ハンザイ	犯罪
トウブ	東部
センゴク	戦国
リョウイキ	領域
カギリ	限り
イシ	医師
マツリゴト	政
インタビュー	インタビュー
クン	くん
シンゴウ	信号
トウ	塔
エキマエ	駅前
テイ	低
ツク	付く
キオク	記憶
カワリ	代わり
サン	酸
オサム	治
クスリ	薬
チイサイ	小さい
クム	組む
カイリョウ	改良
イシキ	意識
コウシャ	校舎
クイズ	クイズ
シチョウ	市長
ゲツヨウ	月曜
メンキョ	免許
コンビ	コンビ
ショウ	症
ヨウキュウ	要求
ブソウ	武装
マダ	まだ
ゲッカン	月刊
コウケン	貢献
タダシ	忠
ムラ	むら
ホンセン	本線
ハンダン	判断
ライト	ライト
シバシバ	しばしば
ハン	反
カッコク	各国
キ	樹
バック	バック
ホンヤク	翻訳
カン	関
ジテンシャ	自転車
ウリアゲ	売上
クチク	駆逐
イワユル	いわゆる
ルート	ルート
セイメイ	生命
シンサ	審査
タイホ	逮捕
センカン	戦艦
キョウ	今日
ザイセキ	在籍
ワールドカップ	ワールドカップ
ケン	建
キゲンゼン	紀元前
ホ	保
テンシ	天使
ゼンチョウ	全長
ヒカク	比較
タイイク	体育
キゾク	貴族
タカラ	宝
サツガイ	殺害
カリフォルニア	カリフォルニア
キャラ	キャラ
コウガク	工学
キョウガク	共学
ウバウ	奪う
キョウカイ	境界
ジュウギョウ	従業
レンケツ	連結
ボーカル	ボーカル
ゲイノウ	芸能
バンチ	番地
ドラゴン	ドラゴン
クビ	首
ブンプ	分布
ジク	軸
ヒロシ	弘
キョウチョ	共著
アフリカ	アフリカ
ニンム	任務
エイコク	英国
アタル	あたる
サン	産
チガイ	違い
タイコウ	対抗
ショウヒ	消費
アリ	有
シサン	資産
ツネニ	常に
ゴールデン	ゴールデン
サカナ	魚
ジョージ	ジョージ
ユタカ	豊
ケイサン	計算
キムラ	木村
ゲンショウ	減少
チ	血
イッテイ	一定
ワカル	わかる
コーチ	コーチ
タマシイ	魂
ガクイン	学院
カンキャク	観客
ハネ	羽
カガワ	香川
アニメーション	アニメーション
オブ	オブ
クウグン	空軍
サクガ	作画
イオン	イオン
ヤマト	大和
シティ	シティ
カブシキ	株式
オキル	起きる
カイカン	会館
トンネル	トンネル
オウジ	王子
ジッコウ	実行
シュミ	趣味
スデニ	既に
レッド	レッド
ズツ	ずつ
プロフィール	プロフィール
デアウ	出会う
ブロック	ブロック
ゼンベイ	全米
シメイ	指名
トウル	通る
ショクヒン	食品
ホンコン	香港
テイキ	定期
ビョウ	病
クモ	雲
キシャ	記者
カカク	価格
キンム	勤務
バトル	バトル
ネンリョウ	燃料
ショー	ショー
シンガク	進学
キロ	キロ
ケイジョウ	形状
レンシュウ	練習
タ	田
ハヤイ	早い
ワケル	分ける
チョウナン	長男
アンテイ	安定
ルール	ルール
ヒロウ	披露
メジャー	メジャー
タン	単
タイリツ	対立
シンヤ	深夜
コウジュツ	後述
ケイコウ	傾向
ミンシュトウ	民主党
グリーン	グリーン
ノ	野
ジュンイ	順位
ワクセイ	惑星
ヤスシ	康
センスイ	潜水
カメイ	加盟
コミック	コミック
セイトウ	政党
ケン	件
カンジル	感じる
コウギョウ	興行
サガ	佐賀
チュウシ	中止
ソウ	相
ヒョウロン	評論
カイフク	回復
イ	医
ランキング	ランキング
ブッシツ	物質
サイカイ	再開
タイリョウ	大量
ユウスル	有する
セダイ	世代
イッショ	一緒
リンジ	臨時
ハンテイ	判定
ボウギョ	防御
ミンシュ	民主
チュウシャク	注釈
ハゲシイ	激しい
スタジアム	スタジアム
ガクシュウ	学習
プロダクション	プロダクション
サケ	酒
ユダヤ	ユダヤ
カギル	限る
ショテン	書店
カベ	壁
ダク	抱く
ザイ	剤
カチ	勝ち
ヘイジツ	平日
サイセイ	再生
コウチ	高知
オサメル	収める
ヨウゴ	用語
テイシャ	停車
カゲ	影
タチバ	立場
ヘイホウ	平方
キュウシ	休止
サイユウシュウ	最優秀
ウゴキ	動き
カクシュ	各種
ダンチ	団地
コテイ	固定
フエル	増える
タカマツ	高松
エヒメ	愛媛
モラウ	もらう
イサン	遺産
サポート	サポート
ペキン	北京
シンリ	心理
ジャンプ	ジャンプ
ニッキ	日記
カナザワ	金沢
ミンカン	民間
キング	キング
クラ	蔵
イチバン	一番
シュツゲン	出現
ハナス	話す
ヒカクテキ	比較的
トコ	床
イラスト	イラスト
シュウヨウ	収容
キチ	吉
タダ	ただ
ヨコ	横
ヤマナシ	山梨
カブヌシ	株主
ツカサ	司
ナマガツ	生月
バスケットボール	バスケットボール
タイヘイヨウ	太平洋
ブラジル	ブラジル
オカ	丘
プロデュース	プロデュース
イングランド	イングランド
ワイド	ワイド
タイイクカン	体育館
オウジル	応じる
モクヒョウ	目標
ショク	食
チョウ	庁
マツ	松
ワケ	わけ
カン	観
バイパス	バイパス
カイホウ	解放
イケン	意見
ドメ	度目
シコク	四国
ショクイン	職員
ブラック	ブラック
タマ	球
アカイ	赤い
ジテン	事典
ソウギョウ	創業
タンキダイガク	短期大学
コンサート	コンサート
テンタイ	天体
ブンショ	文書
ユウ	優
アーティスト	アーティスト
カイメイ	改名
ホヘイ	歩兵
ダンス	ダンス
コンナン	困難
ロク	録
モヨウ	模様
キコク	帰国
ジュニア	ジュニア
コウシ	講師
ジンセイ	人生
ホウッツ	放つ
テイ	定
メ	め
ムリョウ	無料
イセキ	遺跡
コショウ	呼称
アタル	当たる
ゾクスル	属する
グンマ	群馬
マン	満
トモニ	共に
ジャ	じゃ
チシキ	知識
キョウキュウ	供給
ツヨシ	剛
ギンガ	銀河
オキ	沖
シッピツ	執筆
ベンゴシ	弁護士
アメ	雨
ジエイタイ	自衛隊
カクホ	確保
イライ	依頼
ツミ	罪
ツ	津
グンジン	軍人
ボク	僕
カー	カー
シンコウ	振興
ケンナイ	県内
キンテツ	近鉄
シガイチ	市街地
アナタ	あなた
フキュウ	普及
リカイ	理解
チュウモク	注目
ブンセキ	分析
アガル	上がる
ソウコウ	装甲
ホトケ	仏
コウコク	広告
ケンサ	検査
ウデ	腕
カンシュウ	監修
ジイン	寺院
タイニン	退任
イチゾク	一族
ヨウス	様子
ショウチク	松竹
テン	展
マエダ	前田
アイテム	アイテム
チュウブ	中部
シエイ	市営
イキ	行き
ナノル	名乗る
コウ	江
シリツ	私立
ゼンハン	前半
ショウテン	商店
ミュージシャン	ミュージシャン
ネタ	ネタ
サイバン	裁判
アサヒ	朝日
ニュウダン	入団
チョクゼン	直前
シガ	滋賀
ショウ	将
ナカノ	中野
ミツド	密度
ナラブ	並ぶ
オオタ	太田
ナカ	仲
トクヒョウ	得票
ミニ	ミニ
カエル	帰る
ゼンジュツ	前述
キシュ	機種
キョウギ	協議
サブ	サブ
ガッキ	学期
ホウエイ	放映
ジョウイ	上位
イケ	池
テイアン	提案
トーク	トーク
カワ	河
オーストリア	オーストリア
アゲル	あげる
ササキ	佐々木
オス	雄
メグミ	恵
トク	徳
ゴウケイ	合計
ビジネス	ビジネス
ミジカイ	短い
リョウキン	料金
アクマ	悪魔
コチラ	こちら
キュウシュウ	吸収
エキメイ	駅名
コウキョウ	交響
チュウシャ	駐車
マド	窓
ソロ	ソロ
プレー	プレー
ホンタイ	本体
フゾク	付属
メイメイ	命名
ショウボウ	消防
エキシャ	駅舎
ジュウ	従
ショトウ	諸島
ジン	陣
チョウ	張
ナカヤマ	中山
テキヨウ	適用
ドウジ	同時
カン	管
センリャク	戦略
モトモト	元々
カオリ	香
キョウシツ	教室
レーベル	レーベル
カイジョウ	海上
ロンブン	論文
クワワル	加わる
タウン	タウン
カイジュウ	怪獣
トモ	友
ド	ど
ソウル	ソウル
ナカシマ	中島
カイコウ	開校
コムーネ	コムーネ
ソコデ	そこで
カイケツ	解決
エン	延
アン	案
ショブン	処分
トウチャク	到着
スギル	すぎる
マツヤマ	松山
キキ	危機
スウェーデン	スウェーデン
ヘリ	縁
ツグ	継ぐ
ホウカイ	崩壊
リョウ	良
ヒッサツ	必殺
ヤマザキ	山崎
ドノ	どの
ウエノ	上野
カンゴ	看護
フルイ	古い
ショウメイ	証明
チイ	地位
ゲイメイ	芸名
ゲンガ	原画
コッカイ	国会
チョウセイ	調整
ハコ	箱
リツ	立
サクシャ	作者
カシ	歌詞
ワズカ	わずか
クリカエス	繰り返す
ヤヤ	やや
カイガン	海岸
レン	連
フク	福
ス	す
ホル	ほる
カツラ	桂
ボス	ボス
タケシ	健
コフン	古墳
ネツ	熱
カクチョウ	拡張
ディレクター	ディレクター
ケース	ケース
ショザイ	所在
ガイネン	概念
ユウコウ	有効
ハク	伯
ヒタイ	額
テニス	テニス
ナゲル	投げる
ラン	乱
ゾクス	属す
ゲンソク	原則
タケ	竹
キ	黄
バクハツ	爆発
パーソナリティ	パーソナリティ
コ	戸
ランド	ランド
ケンリ	権利
リーダー	リーダー
キュウ	久
シュンコウ	竣工
ヨミウリ	読売
ワカル	分かる
シュウゴウ	集合
ホウ	ほう
ゲンダイ	原題
ソフトウェア	ソフトウェア
カワル	代わる
ヲツウジテ	を通じて
スキー	スキー
ヘイサ	閉鎖
キョカ	許可
チュウカジンミンキョウワコク	中華人民共和国
キカク	規格
キタイ	期待
シンボル	シンボル
ヒロバ	広場
オ	尾
カカワル	かかわる
リョウ	料
キョウセイ	強制
ヒロシ	洋
シメル	占める
サカエ	栄
バカリ	ばかり
テッタイ	撤退
ホンルイダ	本塁打
イワ	岩
タケダ	武田
ハイ	廃
コクド	国土
チュウイ	注意
キー	キー
ニンメイ	任命
シロイ	白い
ドウガ	動画
ゲンショウ	現象
ユース	ユース
シャンハイ	上海
スウガク	数学
ゼッタイ	絶対
ブンコウ	分校
イエル	言える
ホンカク	本格
ジュウドウ	柔道
ウツル	移る
ユウシュウ	優秀
ススム	進
オサム	修
ゲイニン	芸人
マサレル	優れる
キョウテイ	協定
チナミニ	ちなみに
カヨウ	通う
オウジャ	王者
チャンピオン	チャンピオン
ウツクシイ	美しい
ダガ	だが
ケイビ	警備
チジ	知事
シメイ	氏名
キセイ	規制
エイユウ	英雄
センリョウ	占領
ジツギョウ	実業
ケル	ける
キュウジョウ	球場
ニチカン	日間
チュウセイ	中世
コウショウ	交渉
ケッキョク	結局
オヨブ	及ぶ
グンダン	軍団
ガイコウ	外交
アミ	網
ゴール	ゴール
ゲカ	外科
アリ	あり
イリグチ	入口
ダイヤ	ダイヤ
ジュンビ	準備
ウタ	うた
キボウ	希望
プレイ	プレイ
レンアイ	恋愛
キヨウ	起用
シキン	資金
キンゾク	金属
ゴウセイ	合成
サカイ	堺
ジョウコウ	乗降
ブレーキ	ブレーキ
コウド	高度
ショウゴウ	称号
シンケイ	神経
テイケイ	提携
メキシコ	メキシコ
サユウ	左右
